id,英文名稱,課程名稱,週次,該週開始日期,該週結束日期,註冊人數,購買人數,完課人數
2,ntumlone-mathematicalfoundations,機器學習基石上 (Machine Learning Foundations)---Mathematical Foundations,Week29,2017-08-03,2017-08-09,336,1,8
2,ntumlone-mathematicalfoundations,機器學習基石上 (Machine Learning Foundations)---Mathematical Foundations,Week30,2017-08-10,2017-08-16,314,2,7
2,ntumlone-mathematicalfoundations,機器學習基石上 (Machine Learning Foundations)---Mathematical Foundations,Week31,2017-08-17,2017-08-23,293,2,10
2,ntumlone-mathematicalfoundations,機器學習基石上 (Machine Learning Foundations)---Mathematical Foundations,Week32,2017-08-24,2017-08-30,316,4,12
2,ntumlone-mathematicalfoundations,機器學習基石上 (Machine Learning Foundations)---Mathematical Foundations,Week33,2017-08-31,2017-09-06,332,1,5
2,ntumlone-mathematicalfoundations,機器學習基石上 (Machine Learning Foundations)---Mathematical Foundations,Week34,2017-09-07,2017-09-13,380,1,5
2,ntumlone-mathematicalfoundations,機器學習基石上 (Machine Learning Foundations)---Mathematical Foundations,Week35,2017-09-14,2017-09-20,374,2,7
2,ntumlone-mathematicalfoundations,機器學習基石上 (Machine Learning Foundations)---Mathematical Foundations,Week36,2017-09-21,2017-09-27,348,2,7
2,ntumlone-mathematicalfoundations,機器學習基石上 (Machine Learning Foundations)---Mathematical Foundations,Week37,2017-09-28,2017-10-04,273,3,10
2,ntumlone-mathematicalfoundations,機器學習基石上 (Machine Learning Foundations)---Mathematical Foundations,Week38,2017-10-05,2017-10-11,329,2,8
2,ntumlone-mathematicalfoundations,機器學習基石上 (Machine Learning Foundations)---Mathematical Foundations,Week39,2017-10-12,2017-10-18,312,2,4
2,ntumlone-mathematicalfoundations,機器學習基石上 (Machine Learning Foundations)---Mathematical Foundations,Week40,2017-10-19,2017-10-25,610,6,7
2,ntumlone-mathematicalfoundations,機器學習基石上 (Machine Learning Foundations)---Mathematical Foundations,Week41,2017-10-26,2017-11-01,347,5,6
2,ntumlone-mathematicalfoundations,機器學習基石上 (Machine Learning Foundations)---Mathematical Foundations,Week42,2017-11-02,2017-11-08,285,1,3
2,ntumlone-mathematicalfoundations,機器學習基石上 (Machine Learning Foundations)---Mathematical Foundations,Week43,2017-11-09,2017-11-15,356,5,4
2,ntumlone-mathematicalfoundations,機器學習基石上 (Machine Learning Foundations)---Mathematical Foundations,Week44,2017-11-16,2017-11-22,447,4,1
2,ntumlone-mathematicalfoundations,機器學習基石上 (Machine Learning Foundations)---Mathematical Foundations,Week45,2017-11-23,2017-11-29,280,1,0
2,ntumlone-mathematicalfoundations,機器學習基石上 (Machine Learning Foundations)---Mathematical Foundations,Week46,2017-11-30,2017-12-06,62,0,0
3,qin-shi-huang,中國古代歷史與人物－－秦始皇,Week1,2017-03-20,2017-03-26,124,2,1
3,qin-shi-huang,中國古代歷史與人物－－秦始皇,Week2,2017-03-27,2017-04-02,84,0,0
3,qin-shi-huang,中國古代歷史與人物－－秦始皇,Week3,2017-04-03,2017-04-09,118,1,2
3,qin-shi-huang,中國古代歷史與人物－－秦始皇,Week4,2017-04-10,2017-04-16,74,0,1
3,qin-shi-huang,中國古代歷史與人物－－秦始皇,Week5,2017-04-17,2017-04-23,91,0,1
3,qin-shi-huang,中國古代歷史與人物－－秦始皇,Week6,2017-04-24,2017-04-30,87,1,1
3,qin-shi-huang,中國古代歷史與人物－－秦始皇,Week7,2017-05-01,2017-05-07,124,2,7
3,qin-shi-huang,中國古代歷史與人物－－秦始皇,Week8,2017-05-08,2017-05-14,109,0,2
3,qin-shi-huang,中國古代歷史與人物－－秦始皇,Week9,2017-05-15,2017-05-21,95,1,2
3,qin-shi-huang,中國古代歷史與人物－－秦始皇,Week10,2017-05-22,2017-05-28,97,0,1
3,qin-shi-huang,中國古代歷史與人物－－秦始皇,Week11,2017-05-29,2017-06-04,104,0,2
3,qin-shi-huang,中國古代歷史與人物－－秦始皇,Week12,2017-06-05,2017-06-11,115,1,1
3,qin-shi-huang,中國古代歷史與人物－－秦始皇,Week13,2017-06-12,2017-06-18,105,0,1
3,qin-shi-huang,中國古代歷史與人物－－秦始皇,Week14,2017-06-19,2017-06-25,111,0,1
3,qin-shi-huang,中國古代歷史與人物－－秦始皇,Week15,2017-06-26,2017-07-02,121,1,0
3,qin-shi-huang,中國古代歷史與人物－－秦始皇,Week16,2017-07-03,2017-07-09,109,1,2
3,qin-shi-huang,中國古代歷史與人物－－秦始皇,Week17,2017-07-10,2017-07-16,104,0,1
3,qin-shi-huang,中國古代歷史與人物－－秦始皇,Week18,2017-07-17,2017-07-23,96,1,1
3,qin-shi-huang,中國古代歷史與人物－－秦始皇,Week19,2017-07-24,2017-07-30,100,0,2
3,qin-shi-huang,中國古代歷史與人物－－秦始皇,Week20,2017-07-31,2017-08-06,108,1,1
3,qin-shi-huang,中國古代歷史與人物－－秦始皇,Week21,2017-08-07,2017-08-13,82,0,1
3,qin-shi-huang,中國古代歷史與人物－－秦始皇,Week22,2017-08-14,2017-08-20,133,0,0
3,qin-shi-huang,中國古代歷史與人物－－秦始皇,Week23,2017-08-21,2017-08-27,112,1,2
3,qin-shi-huang,中國古代歷史與人物－－秦始皇,Week24,2017-08-28,2017-09-03,124,0,0
3,qin-shi-huang,中國古代歷史與人物－－秦始皇,Week25,2017-09-04,2017-09-10,102,1,1
3,qin-shi-huang,中國古代歷史與人物－－秦始皇,Week26,2017-09-11,2017-09-17,119,1,1
3,qin-shi-huang,中國古代歷史與人物－－秦始皇,Week27,2017-09-18,2017-09-24,90,1,1
3,qin-shi-huang,中國古代歷史與人物－－秦始皇,Week28,2017-09-25,2017-10-01,112,0,0
3,qin-shi-huang,中國古代歷史與人物－－秦始皇,Week29,2017-10-02,2017-10-08,111,1,0
3,qin-shi-huang,中國古代歷史與人物－－秦始皇,Week30,2017-10-09,2017-10-15,100,0,0
3,qin-shi-huang,中國古代歷史與人物－－秦始皇,Week31,2017-10-16,2017-10-22,97,2,1
3,qin-shi-huang,中國古代歷史與人物－－秦始皇,Week32,2017-10-23,2017-10-29,81,0,0
3,qin-shi-huang,中國古代歷史與人物－－秦始皇,Week33,2017-10-30,2017-11-05,90,0,0
3,qin-shi-huang,中國古代歷史與人物－－秦始皇,Week34,2017-11-06,2017-11-12,99,0,0
3,qin-shi-huang,中國古代歷史與人物－－秦始皇,Week35,2017-11-13,2017-11-19,99,1,0
3,qin-shi-huang,中國古代歷史與人物－－秦始皇,Week36,2017-11-20,2017-11-26,88,1,0
3,qin-shi-huang,中國古代歷史與人物－－秦始皇,Week37,2017-11-27,2017-12-03,45,0,0
4,rengong-zhineng,人工智慧(Artificial Intelligence),Week1,2016-07-13,2016-07-19,106,1,1
4,rengong-zhineng,人工智慧(Artificial Intelligence),Week2,2016-07-20,2016-07-26,84,0,2
4,rengong-zhineng,人工智慧(Artificial Intelligence),Week3,2016-07-27,2016-08-02,106,2,2
4,rengong-zhineng,人工智慧(Artificial Intelligence),Week4,2016-08-03,2016-08-09,77,1,2
4,rengong-zhineng,人工智慧(Artificial Intelligence),Week5,2016-08-10,2016-08-16,89,0,0
4,rengong-zhineng,人工智慧(Artificial Intelligence),Week6,2016-08-17,2016-08-23,316,1,7
4,rengong-zhineng,人工智慧(Artificial Intelligence),Week7,2016-08-24,2016-08-30,115,1,5
4,rengong-zhineng,人工智慧(Artificial Intelligence),Week8,2016-08-31,2016-09-06,99,0,1
4,rengong-zhineng,人工智慧(Artificial Intelligence),Week9,2016-09-07,2016-09-13,93,1,3
4,rengong-zhineng,人工智慧(Artificial Intelligence),Week10,2016-09-14,2016-09-20,100,1,1
4,rengong-zhineng,人工智慧(Artificial Intelligence),Week11,2016-09-21,2016-09-27,110,1,1
4,rengong-zhineng,人工智慧(Artificial Intelligence),Week12,2016-09-28,2016-10-04,106,1,2
4,rengong-zhineng,人工智慧(Artificial Intelligence),Week13,2016-10-05,2016-10-11,112,0,1
4,rengong-zhineng,人工智慧(Artificial Intelligence),Week14,2016-10-12,2016-10-18,119,2,5
